,Week,ILI,Queries,logILI,logILI2,logILI3,Queries1,Queries2
16,2012-04-22 - 2012-04-28,1.288492918,0.31208499300000003,0.253473254781635,0.40304258817478417,0.5164182102600939,0.33067729100000004,0.365205844
17,2012-04-29 - 2012-05-05,1.357841577,0.305444886,0.30589636327386976,0.32295106258219325,0.40304258817478417,0.31208499300000003,0.33067729100000004
18,2012-05-06 - 2012-05-12,1.307627931,0.27755644100000004,0.2682147561475865,0.253473254781635,0.32295106258219325,0.305444886,0.31208499300000003
19,2012-05-13 - 2012-05-19,1.266918835,0.302788845,0.2365878385135424,0.30589636327386976,0.253473254781635,0.27755644100000004,0.305444886
20,2012-05-20 - 2012-05-26,1.277309834,0.276228419,0.24475617408964576,0.2682147561475865,0.30589636327386976,0.302788845,0.27755644100000004
21,2012-05-27 - 2012-06-02,1.299019652,0.26162018600000003,0.2616098661344582,0.2365878385135424,0.2682147561475865,0.276228419,0.302788845
22,2012-06-03 - 2012-06-09,1.162353159,0.272244355,0.15044653566227356,0.24475617408964576,0.2365878385135424,0.26162018600000003,0.276228419
23,2012-06-10 - 2012-06-16,1.086121097,0.250996016,0.08261272266174187,0.2616098661344582,0.24475617408964576,0.272244355,0.26162018600000003
24,2012-06-17 - 2012-06-23,1.056795784,0.26162018600000003,0.05524148481605258,0.15044653566227356,0.2616098661344582,0.250996016,0.272244355
25,2012-06-24 - 2012-06-30,1.078712853,0.239043824,0.07576852759663855,0.08261272266174187,0.15044653566227356,0.26162018600000003,0.250996016
26,2012-07-01 - 2012-07-07,1.046702374,0.250996016,0.045644625956763454,0.05524148481605258,0.08261272266174187,0.239043824,0.26162018600000003
27,2012-07-08 - 2012-07-14,0.928151913,0.265604249,-0.0745598602397653,0.07576852759663855,0.05524148481605258,0.250996016,0.239043824
28,2012-07-15 - 2012-07-21,0.901935751,0.245683931,-0.10321199094647628,0.045644625956763454,0.07576852759663855,0.265604249,0.250996016
29,2012-07-22 - 2012-07-28,0.916041198,0.250996016,-0.08769393933686327,-0.0745598602397653,0.045644625956763454,0.245683931,0.265604249
30,2012-07-29 - 2012-08-04,0.952407325,0.248339973,-0.04876247330282756,-0.10321199094647628,-0.0745598602397653,0.250996016,0.245683931
31,2012-08-05 - 2012-08-11,0.916454237,0.252324037,-0.08724314530037525,-0.08769393933686327,-0.10321199094647628,0.248339973,0.250996016
32,2012-08-12 - 2012-08-18,0.901787149,0.269588313,-0.10337676348480364,-0.04876247330282756,-0.08769393933686327,0.252324037,0.248339973
33,2012-08-19 - 2012-08-25,1.033151356,0.293492696,0.03261370021754095,-0.08724314530037525,-0.04876247330282756,0.269588313,0.252324037
34,2012-08-26 - 2012-09-01,1.051986586,0.310756972,0.05068036328365366,-0.10337676348480364,-0.08724314530037525,0.293492696,0.269588313
35,2012-09-02 - 2012-09-08,1.12713374,0.333333333,0.1196778970498572,0.03261370021754095,-0.10337676348480364,0.310756972,0.293492696
36,2012-09-09 - 2012-09-15,1.186488624,0.35856573700000005,0.17099820898425347,0.05068036328365366,0.03261370021754095,0.333333333,0.310756972
37,2012-09-16 - 2012-09-22,1.214153066,0.418326693,0.19404676870915388,0.1196778970498572,0.05068036328365366,0.35856573700000005,0.333333333
38,2012-09-23 - 2012-09-29,1.251980525,0.434262948,0.2247267174451037,0.17099820898425347,0.1196778970498572,0.418326693,0.35856573700000005
39,2012-09-30 - 2012-10-06,1.19188326,0.45816733,0.1755346276054804,0.19404676870915388,0.17099820898425347,0.434262948,0.418326693
40,2012-10-07 - 2012-10-13,1.323889139,0.467463479,0.2805737221359957,0.2247267174451037,0.19404676870915388,0.45816733,0.434262948
41,2012-10-14 - 2012-10-20,1.308543012,0.455511288,0.268914313674412,0.1755346276054804,0.2247267174451037,0.467463479,0.45816733
42,2012-10-21 - 2012-10-27,1.360590325,0.4541832670000001,0.30791866807008544,0.2805737221359957,0.1755346276054804,0.455511288,0.467463479
43,2012-10-28 - 2012-11-03,1.486024742,0.483399735,0.3961045962242513,0.268914313674412,0.2805737221359957,0.4541832670000001,0.455511288
44,2012-11-04 - 2012-11-10,1.610914978,0.470119522,0.4768023268865593,0.30791866807008544,0.268914313674412,0.483399735,0.4541832670000001
45,2012-11-11 - 2012-11-17,1.733293464,0.5232403720000001,0.550023335116271,0.3961045962242513,0.30791866807008544,0.470119522,0.483399735
46,2012-11-18 - 2012-11-24,2.304625416,0.51128818,0.8349181539149915,0.4768023268865593,0.3961045962242513,0.5232403720000001,0.470119522
47,2012-11-25 - 2012-12-01,2.225996567,0.6095617520000001,0.8002047106239517,0.550023335116271,0.4768023268865593,0.51128818,0.5232403720000001
48,2012-12-02 - 2012-12-08,2.9780470610000003,0.671978752,1.0912677370247972,0.8349181539149915,0.550023335116271,0.6095617520000001,0.51128818
49,2012-12-09 - 2012-12-15,3.600229705,0.705179283,1.2809976503709322,0.8002047106239517,0.8349181539149915,0.671978752,0.6095617520000001
50,2012-12-16 - 2012-12-22,4.547267757,0.7875166,1.5145265596277142,1.0912677370247972,0.8002047106239517,0.705179283,0.671978752
51,2012-12-23 - 2012-12-29,6.0336143889999985,0.80542091,1.7973462323308331,1.2809976503709322,1.0912677370247972,0.7875166,0.705179283
